wanna,	VB,	wanna,	--- No definition found for pos_key v ---
wanna,	VBP,	wanna,	--- No definition found for pos_key v ---
play,	VB,	play,	participate in games or sport;act or have an effect in a specified way or with a specific effect or outcome;play on an instrument;play a role or part;be at play; be engaged in playful activity; amuse oneself in a way characteristic of children;replay (as a melody;perform music on (a musical instrument;pretend to have certain qualities or state of mind;move or seem to move quickly, lightly, or irregularly;bet or wager (money;engage in recreational activities rather than work; occupy oneself in a diversion;pretend to be somebody in the framework of a game or playful activity;emit recorded sound;perform on a certain location;put (a card or piece;engage in an activity as if it were a game rather than take it seriously;behave in a certain way;cause to emit recorded audio or video;manipulate manually or in one's mind or imagination;use to one's advantage;consider not very seriously;be received or accepted or interpreted in a specific way;behave carelessly or indifferently;cause to move or operate freely within a bounded space;perform on a stage or theater;be performed or presented for public viewing;cause to happen or to occur as a consequence;discharge or direct or be discharged or directed as if in a continuous stream;make bets;stake on the outcome of an issue;shoot or hit in a particular manner;use or move;employ in a game or in a specific position;contend against an opponent in a sport, game, or battle;exhaust by allowing to pull on the line
play,	NN,	play,	a dramatic work intended for performance by actors on a stage;a theatrical performance of a drama;a preset plan of action in team sports;a deliberate coordinated movement requiring dexterity and skill;a state in which action is feasible;utilization or exercise;an attempt to get something;activity by children that is guided more by imagination than by fixed rules;(in games or plays or other performances;the removal of constraints;a weak and tremulous light;verbal wit or mockery (often at another's expense but not to be taken seriously;movement or space for movement;gay or light-hearted recreational activity for diversion or amusement;the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize;the act using a sword (or other weapon
play,	VBP,	play,	participate in games or sport;act or have an effect in a specified way or with a specific effect or outcome;play on an instrument;play a role or part;be at play; be engaged in playful activity; amuse oneself in a way characteristic of children;replay (as a melody;perform music on (a musical instrument;pretend to have certain qualities or state of mind;move or seem to move quickly, lightly, or irregularly;bet or wager (money;engage in recreational activities rather than work; occupy oneself in a diversion;pretend to be somebody in the framework of a game or playful activity;emit recorded sound;perform on a certain location;put (a card or piece;engage in an activity as if it were a game rather than take it seriously;behave in a certain way;cause to emit recorded audio or video;manipulate manually or in one's mind or imagination;use to one's advantage;consider not very seriously;be received or accepted or interpreted in a specific way;behave carelessly or indifferently;cause to move or operate freely within a bounded space;perform on a stage or theater;be performed or presented for public viewing;cause to happen or to occur as a consequence;discharge or direct or be discharged or directed as if in a continuous stream;make bets;stake on the outcome of an issue;shoot or hit in a particular manner;use or move;employ in a game or in a specific position;contend against an opponent in a sport, game, or battle;exhaust by allowing to pull on the line
play,	VBD,	played,	participate in games or sport;act or have an effect in a specified way or with a specific effect or outcome;play on an instrument;play a role or part;be at play; be engaged in playful activity; amuse oneself in a way characteristic of children;replay (as a melody;perform music on (a musical instrument;pretend to have certain qualities or state of mind;move or seem to move quickly, lightly, or irregularly;bet or wager (money;engage in recreational activities rather than work; occupy oneself in a diversion;pretend to be somebody in the framework of a game or playful activity;emit recorded sound;perform on a certain location;put (a card or piece;engage in an activity as if it were a game rather than take it seriously;behave in a certain way;cause to emit recorded audio or video;manipulate manually or in one's mind or imagination;use to one's advantage;consider not very seriously;be received or accepted or interpreted in a specific way;behave carelessly or indifferently;cause to move or operate freely within a bounded space;perform on a stage or theater;be performed or presented for public viewing;cause to happen or to occur as a consequence;discharge or direct or be discharged or directed as if in a continuous stream;make bets;stake on the outcome of an issue;shoot or hit in a particular manner;use or move;employ in a game or in a specific position;contend against an opponent in a sport, game, or battle;exhaust by allowing to pull on the line
play,	VBG,	playing,	participate in games or sport;act or have an effect in a specified way or with a specific effect or outcome;play on an instrument;play a role or part;be at play; be engaged in playful activity; amuse oneself in a way characteristic of children;replay (as a melody;perform music on (a musical instrument;pretend to have certain qualities or state of mind;move or seem to move quickly, lightly, or irregularly;bet or wager (money;engage in recreational activities rather than work; occupy oneself in a diversion;pretend to be somebody in the framework of a game or playful activity;emit recorded sound;perform on a certain location;put (a card or piece;engage in an activity as if it were a game rather than take it seriously;behave in a certain way;cause to emit recorded audio or video;manipulate manually or in one's mind or imagination;use to one's advantage;consider not very seriously;be received or accepted or interpreted in a specific way;behave carelessly or indifferently;cause to move or operate freely within a bounded space;perform on a stage or theater;be performed or presented for public viewing;cause to happen or to occur as a consequence;discharge or direct or be discharged or directed as if in a continuous stream;make bets;stake on the outcome of an issue;shoot or hit in a particular manner;use or move;employ in a game or in a specific position;contend against an opponent in a sport, game, or battle;exhaust by allowing to pull on the line
farm,	NN,	farm,	workplace consisting of farm buildings and cultivated land as a unit
farm,	VB,	farm,	be a farmer; work as a farmer;collect fees or profits;cultivate by growing, often involving improvements by means of agricultural techniques
Amy,	NNP,	Amy,	--- No definition found for pos_key n ---
